ID,grade
3582,1
60498,1
53227,1
21333,1
3885,1
51521,1
84261,1
10685,1
59948,1
41032,1
25747,1
44303,1
83813,1
61991,1
49392,1
37116,1
65942,1
2216,1
81749,1
77996,1
30999,1
18294,1
81976,1
29876,1
85471,1
8959,1
70029,1
28324,1
50521,1
89741,1
8350,1
4655,1
90049,1
66296,1
35416,1
50253,1
46535,1
65667,1
56112,1
69884,1
69132,1
27954,1
45096,1
83141,1
7413,1
52692,1
27712,1
47173,1
47393,1
87379,1
54234,1
95572,1
1066,1
16820,1
55800,1
19767,1
54654,1
91959,1
46004,1
18632,1
92173,1
38806,1
3026,1
89926,1
40109,1
14664,1
43105,1
70847,1
64523,1
13303,1
22321,1
96669,1
822,1
67521,1
75286,1
14085,1
32500,1
73097,1
48652,1
90432,1
70715,1
98809,1
71060,1
16201,1
29565,1
43959,1
45976,1
57881,1
60515,1
11951,1
32239,1
1331,1
30578,1
80285,1
55407,1
95350,1
54177,1
63741,1
62122,1
26493,1
60005,1
74007,1
345,1
43895,1
15471,1
17226,1
31180,1
9221,1
38525,1
48805,1
66691,1
33411,1
24702,1
38259,1
65520,1
40280,1
85270,1
40425,1
30407,1
36017,1
24852,1
68371,1
32893,1
86902,1
66295,1
355,1
90756,1
45862,1
28100,1
94411,1
3854,1
39856,1
41824,1
16750,1
28809,1
94166,1
91124,1
61589,1
20823,1
43441,1
56613,1
52589,1
26549,1
35198,1
46955,1
21550,1
62616,1
78921,1
81448,1
69202,1
51265,1
12987,1
79336,1
23942,1
77445,1
42389,1
16047,1
23286,1
15264,1
43985,1
22072,1
70123,1
24951,1
32543,1
63373,1
83691,1
11216,1
34462,1
44808,1
6642,1
28167,1
42282,1
63064,1
21589,1
75351,1
57225,1
35206,1
69677,1
95690,1
46869,1
42790,1
46511,1
12868,1
42975,1
74099,1
43605,1
33518,1
7341,1
11980,1
22312,1
66408,1
78556,1
30510,1
86477,1
71890,1
74244,1
96072,1
66171,1
31186,1
36740,1
4084,1
54732,1
47751,1
44205,1
16479,1
52242,1
50216,1
56727,1
89805,1
54214,1
68685,1
73884,1
4425,1
55430,1
4904,1
71480,1
48845,1
77927,1
90720,1
76195,1
15630,1
19512,1
6026,1
42511,1
53234,1
65407,1
16150,1
59416,1
99940,1
34060,1
20159,1
30055,1
66922,1
1696,1
58952,1
86440,1
18476,1
76125,1
42020,1
43980,1
29449,1
49200,1
49135,1
34245,1
77921,1
57836,1
54644,1
91832,1
68783,1
14554,1
45428,1
91646,1
86976,1
94424,1
93158,1
53565,1
53124,1
77397,1
34187,1
35420,1
78266,1
31660,1
5088,1
94723,1
20500,1
27590,1
77439,1
30899,1
96911,1
18759,1
71812,1
48378,1
17974,1
61197,1
21657,1
78025,1
99961,1
57042,1
85544,1
45294,1
26155,1
8410,1
50538,1
60706,1
67573,1
77680,1
20498,1
81261,1
73987,1
62383,1
11607,1
67999,1
81530,1
8750,1
4368,1
41448,1
5159,1
83392,1
70870,1
28738,1
52384,1
64021,1
28305,1
28941,1
22324,1
94751,1
59801,1
65399,1
42618,1
10109,1
31886,1
18457,1
34841,1
96263,1
16685,1
30404,1
43364,1
96876,1
57498,1
73693,1
34442,1
86034,1
39561,1
64712,1
70485,1
26902,1
3731,1
44271,1
24653,1
81797,1
20513,1
61776,1
12277,1
16988,1
71932,1
24021,1
23779,1
61032,1
24548,1
76708,1
91238,1
16976,1
32970,1
81465,1
35815,1
69358,1
29492,1
35521,1
46995,1
13968,1
97721,1
58737,1
3297,1
5399,1
40678,1
64365,1
24484,1
23236,1
49450,1
31185,1
9299,1
44884,1
38059,1
35597,1
97087,1
184,1
68271,1
9258,1
25911,1
94673,1
78946,1
38721,1
68697,1
43338,1
22532,1
240,1
10186,1
56309,1
438,1
11271,1
92170,1
9232,1
99248,1
98038,1
16713,1
47092,1
81142,1
25970,1
96345,1
28417,1
76580,1
99035,1
49129,1
51135,1
75715,1
46484,1
35170,1
78185,1
20236,1
16847,1
21045,1
68708,1
16969,1
42125,1
51327,1
305,1
23795,1
51372,1
13653,1
86861,1
45803,1
72245,1
90785,1
63971,1
45539,1
13302,1
62451,1
12554,1
6071,1
96853,1
61853,1
87097,1
64519,1
12379,1
53956,1
68171,1
54633,1
32222,1
19364,1
99788,1
29207,1
66560,1
12656,1
87602,1
63760,1
89807,1
86006,1
49784,1
97718,1
21948,1
9160,1
89131,1
1422,1
29171,1
40820,1
38251,1
24796,1
97051,1
19397,1
46586,1
59720,1
72462,1
7886,1
17411,1
61545,1
29231,1
49277,1
30986,1
89216,1
81115,1
98316,1
47503,1
16844,1
42884,1
40360,1
76398,1
23436,1
30121,1
95676,1
10101,1
7838,1
3057,1
65184,1
84685,1
75506,1
70160,1
70590,1
95567,1
95501,1
48881,1
5616,1
43765,1
73747,1
86060,1
90875,1
72348,1
59314,1
26803,1
40276,1
986,1
63656,1
52174,1
57381,1
45893,1
68247,1
85653,1
19532,1
46696,1
83944,1
4690,1
97209,1
97337,1
54464,1
74706,1
80742,1
38625,1
78541,1
36170,1
22340,1
32409,1
19187,1
15005,1
75979,1
59974,1
32057,1
56196,1
26357,1
93241,1
71761,1
66261,1
60217,1
89093,1
63301,1
74832,1
90583,1
60078,1
68006,1
96161,1
34216,1
67794,1
52123,1
22969,1
81387,1
73543,1
82095,1
52670,1
92215,1
50345,1
94717,1
87574,1
61867,1
21170,1
68130,1
72706,1
59384,1
33252,1
89905,1
78217,1
41894,1
24818,1
89580,1
79935,1
94180,1
60528,1
43097,1
67697,1
16221,1
11631,1
20280,1
11224,1
14850,1
82232,1
56395,1
57015,1
75242,1
2930,1
3649,1
84317,1
79126,1
13064,1
24778,1
74084,1
25043,1
87128,1
31170,1
98516,1
1925,1
48076,1
71495,1
84117,1
22403,1
61426,1
54375,1
9928,1
81378,1
77836,1
51744,1
32530,1
7887,1
85841,1
49692,1
61981,1
3570,1
14000,1
88965,1
36788,1
1238,1
18412,1
20792,1
64195,1
97474,1
55223,1
75921,1
43124,1
37811,1
63865,1
50153,1
33982,1
79534,1
75236,1
46691,1
56540,1
73895,1
54437,1
13539,1
46006,1
44175,1
46328,1
60547,1
49471,1
53053,1
6219,1
98787,1
17301,1
6322,1
87220,1
73864,1
55655,1
6245,1
30476,1
64609,1
47462,1
35843,1
46658,1
74221,1
32890,1
37058,1
46408,1
55029,1
64625,1
95165,1
6045,1
55942,1
79486,1
93800,1
7642,1
65587,1
25588,1
46667,1
26328,1
30489,1
15133,1
62410,1
20526,1
76751,1
38270,1
57937,1
71201,1
24213,1
10272,1
19735,1
